seq,time_s,dt_s,lin_x,lin_y,lin_z,ang_x,ang_y,ang_z
0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.0500,0.0500,0.013000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.1000,0.0500,0.026000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.1500,0.0500,0.039000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.2000,0.0500,0.052000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.2500,0.0500,0.065000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.3000,0.0500,0.078000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.3500,0.0500,0.091000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.4000,0.0500,0.104000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.4500,0.0500,0.117000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.5000,0.0500,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000
11,0.5500,0.0500,0.143000,0.000000,0.000000,0.000000,0.000000,0.000000
12,0.6000,0.0500,0.156000,0.000000,0.000000,0.000000,0.000000,0.000000
13,0.6500,0.0500,0.169000,0.000000,0.000000,0.000000,0.000000,0.000000
14,0.7000,0.0500,0.182000,0.000000,0.000000,0.000000,0.000000,0.000000
15,0.7500,0.0500,0.195000,0.000000,0.000000,0.000000,0.000000,0.000000
16,0.8000,0.0500,0.208000,0.000000,0.000000,0.000000,0.000000,0.000000
17,0.8500,0.0500,0.221000,0.000000,0.000000,0.000000,0.000000,0.000000
18,0.9000,0.0500,0.234000,0.000000,0.000000,0.000000,0.000000,0.000000
19,0.9500,0.0500,0.247000,0.000000,0.000000,0.000000,0.000000,0.000000
20,1.0000,0.0500,0.260000,0.000000,0.000000,0.000000,0.000000,0.000000
21,1.0500,0.0500,0.260000,0.000000,0.000000,0.000000,0.000000,0.000000
22,1.1000,0.0500,0.260000,0.000000,0.000000,0.000000,0.000000,0.000000
23,1.1500,0.0500,0.260000,0.000000,0.000000,0.000000,0.000000,0.000000
24,1.2000,0.0500,0.260000,0.000000,0.000000,0.000000,0.000000,0.000000
25,1.2500,0.0500,0.260000,0.000000,0.000000,0.000000,0.000000,0.000000
26,1.3000,0.0500,0.260000,0.000000,0.000000,0.000000,0.000000,0.000000
